Animal,Description,Type of Organism,Interesting Fact
Red Panda,"A small arboreal mammal native to the eastern Himalayas and southwestern China.",Mammal,"Red pandas use their bushy tails for balance and warmth."
Arctic Fox,"A small fox native to the Arctic regions, known for its thick white winter fur.",Mammal,"Arctic foxes change coat color with the seasons for camouflage."
Brown Bear,"A large bear species found across Eurasia and North America.",Mammal,"Brown bears can cover surprisingly long distances while foraging."
Chimpanzee,"A species of great ape native to the forests of tropical Africa, our closest relative.",Mammal,"Chimpanzees are known to use tools such as sticks to gather food."
Flamingo,"Social wading birds known for their pink feathers and standing on one leg.",Bird,"Flamingos get much of their pink coloring from pigments in their diet."
Hippopotamus,"A large, mostly herbivorous, semiaquatic mammal native to sub-Saharan Africa.",Mammal,"Hippos spend much of the day in water to help keep cool."
Iguana,"A genus of herbivorous lizards native to tropical areas of Mexico and South America.",Reptile,"Marine iguanas can forage in the ocean, while many other iguanas stay on land."
Komodo Dragon,"The largest species of lizard, found in the Indonesian islands.",Reptile,"Komodo dragons can detect carrion and prey from impressive distances."
Lynx,"Medium-sized wild cats known for their tufted ears and short tails.",Mammal,"Lynx are well adapted to snowy habitats with wide, furry paws."
Meerkat,"A small mongoose found in southern Africa, known for its upright sentry posture.",Mammal,"Meerkats take turns acting as lookouts while the group feeds."
Narwhal,"A medium-sized whale with a large 'tusk' which is actually a protruding tooth.",Mammal,"A narwhal's tusk is an elongated tooth that can grow several feet long."
Okapi,"A giraffid mammal native to the Ituri Rainforest in central Africa.",Mammal,"Okapis are relatives of giraffes despite their zebra-like leg markings."
Polar Bear,"A hypercarnivorous bear whose native range lies largely within the Arctic Circle.",Mammal,"Polar bears have black skin beneath their fur to help absorb heat."
Quokka,"A small macropod about the size of a domestic cat, native to Western Australia.",Mammal,"Quokkas are known for a facial expression that often looks like a smile."
Rhinoceros,"Large herbivorous mammals known for their thick skin and prominent horns.",Mammal,"A rhino's horn is made primarily of keratin, the same protein as hair and nails."
Snow Leopard,"A large cat native to the mountain ranges of Central and South Asia.",Mammal,"Snow leopards use their long tails for balance and for warmth in cold climates."
Tasmanian Devil,"A carnivorous marsupial found in the wild only on the island state of Tasmania.",Mammal,"Tasmanian devils are named for their loud and fierce-sounding vocalizations."
Utter,"A playful semiaquatic mammal known for its thick fur and swimming ability.",Mammal,"Otters often use tools like rocks to crack open shellfish."
Vulture,"Scavenging birds of prey that feed mostly on the carcasses of dead animals.",Bird,"Vultures play an important ecological role by quickly cleaning up carrion."
Walrus,"A large flippered marine mammal with a discontinuous distribution about the North Pole.",Mammal,"Walruses use their whiskers to help locate food on the seafloor."
X-ray Tetra,"A species of small, translucent fish native to the Amazon River basin.",Fish,"Its semi-transparent body makes the X-ray tetra easy to recognize."
Yak,"A long-haired domesticated bovid found throughout the Himalayan region.",Mammal,"Yaks are well suited to high altitudes with cold temperatures and thin air."
Zebu,"A species or subspecies of domestic cattle originating in South Asia.",Mammal,"Zebu cattle are recognizable by the hump over their shoulders."
Armadillo,"New World mammals known for having a leathery armor shell.",Mammal,"Some armadillos can roll into a ball for protection."
Bison,"Large even-toed ungulates that historically roamed North American plains.",Mammal,"Bison can run much faster than many people expect despite their size."
Capybara,"The largest living rodent in the world, native to South America.",Mammal,"Capybaras are highly social and often gather in groups near water."
Dingo,"A wild dog found in Australia, likely descended from semi-domesticated dogs.",Mammal,"Dingoes are agile hunters that can adapt to a wide range of habitats."
Echidna,"Spiny anteaters that are egg-laying mammals native to Oceania.",Mammal,"Echidnas are monotremes, meaning they are mammals that lay eggs."
Falcon,"Birds of prey known for their incredible speed and keen hunting skills.",Bird,"Peregrine falcons are famous for high-speed dives when hunting."
Grizzly Bear,"A large subspecies of brown bear found in North America.",Mammal,"Grizzly bears can dig efficiently with their long front claws."
Honey Badger,"A mammal known for its strength, ferocity, and tough skin.",Mammal,"Honey badgers are known for persistence and a broad, opportunistic diet."
